ID;name;description;date;hour;capacity;bookins
1;Conferencia de Tecnología;Evento sobre avances en IA y robótica;10/03/2024;10:00;100;[ ]
2;Taller de Marketing Digital;Estrategias de redes sociales;15/05/2024;15:00;50;[ ]
3;Jornada de Salud Mental;Charla sobre bienestar y autocuidado;20/02/2024;9:30;200;[ ]
4;Curso de Programación Web;Introducción a HTML, CSS y JavaScript;25/06/2024;18:00;30;[ ]
5;Exposición de Arte Contemporáneo;Obras de artistas locales;18/04/2024;11:00;80;[ ]
6;Seminario de Finanzas;Inversiones y ahorro;10/07/2024;14:00;60;[ ]
7;Taller de Fotografía;Técnicas para fotografía profesional;25/01/2024;16:00;40;[ ]
8;Networking Empresarial;Oportunidades de colaboración;15/03/2024;13:00;120;[ ]
9;Campeonato de Ajedrez;Torneo anual de ajedrez;05/09/2024;8:30;150;[ ]
10;Sesión de Yoga al Aire Libre;Meditación y ejercicios de yoga;22/04/2024;7:00;25;[ ]
11;Conferencia de Medio Ambiente;Cambio climático y sostenibilidad;12/08/2024;9:00;300;[ ]
12;Taller de Manualidades;Crear accesorios y decoración;20/05/2024;17:00;35;[ ]
13;Festival de Comida;Gastronomía internacional;30/10/2024;12:00;500;[ ]
14;Curso de Diseño Gráfico;Fundamentos de diseño y herramientas;05/11/2024;14:30;45;[ ]
15;Encuentro de Emprendedores;Innovación y estrategias de negocio;28/09/2024;19:00;150;[ ]
16;Clase de Zumba;Ejercicio y diversión;15/12/2024;8:00;100;[ ]
17;Foro de Literatura;Conversación con autores;12/03/2024;18:30;60;[ ]
18;Conferencia de Educación;Innovaciones en metodologías educativas;20/07/2024;9:30;250;[ ]
19;Taller de Cerámica;Creación de piezas de cerámica;29/01/2024;10:00;20;[ ]
20;Curso de Cocina Saludable;Técnicas para alimentación saludable;03/06/2024;11:30;30;[ ]
21;Festival de Cine;Proyecciones de cortometrajes;19/08/2024;17:00;350;[ ]
22;Campeonato de Ciclismo;Carrera en diferentes categorías;02/09/2024;6:30;400;[ ]
23;Exposición Fotográfica;Muestra de fotógrafos locales;25/05/2024;16:00;80;[ ]
24;Jornada de Voluntariado;Actividades de impacto social;12/04/2024;7:30;150;[ ]
25;Curso de Robótica para Niños;Introducción a la robótica;08/03/2024;14:00;40;[ ]
26;Clase Magistral de Danza;Interpretación y técnica de danza;15/07/2024;18:00;50;[ ]
27;Simposio de Ciencias;Descubrimientos científicos actuales;14/02/2024;10:30;200;[ ]
28;Maratón de Lectura;Lectura colectiva de obras literarias;18/11/2024;8:30;100;[ ]
29;Taller de Reciclaje Creativo;Reutilización de materiales;22/10/2024;15:30;25;[ ]
30;Campamento Juvenil;Actividades recreativas y educativas;01/12/2024;6:00;200;[ ]
